ProductKey,ProductAlternateKey,Product Name,Price,Color,Product Model Name,Size,Product Description,Product Line,Product Status,Product Category,Product Subcategory
1,AR-5381,Adjustable Race,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
2,BA-8327,Bearing Ball,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
3,BE-2349,BB Ball Bearing,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
4,BE-2908,Headset Ball Bearings,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
5,BL-2036,Blade,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
6,CA-5965,LL Crankarm,NULL,Black,NULL,NULL,NULL,NULL,Current,NULL,NULL
7,CA-6738,ML Crankarm,NULL,Black,NULL,NULL,NULL,NULL,Current,NULL,NULL
8,CA-7457,HL Crankarm,NULL,Black,NULL,NULL,NULL,NULL,Current,NULL,NULL
9,CB-2903,Chainring Bolts,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
10,CN-6137,Chainring Nut,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
11,CR-7833,Chainring,NULL,Black,NULL,NULL,NULL,NULL,Current,NULL,NULL
12,CR-9981,Crown Race,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
13,CS-2812,Chain Stays,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
14,DC-8732,Decal 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
15,DC-9824,Decal 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
16,DT-2377,Down Tube,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
17,EC-M092,Mountain End Caps,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
18,EC-R098,Road End Caps,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
19,EC-T209,Touring End Caps,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
20,FE-3760,Fork End,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
21,FH-2981,Freewheel,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
22,FW-1000,Flat Washer 1,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
23,FW-1200,Flat Washer 6,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
24,FW-1400,Flat Washer 2,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
25,FW-3400,Flat Washer 9,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
26,FW-3800,Flat Washer 4,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
27,FW-5160,Flat Washer 3,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
28,FW-5800,Flat Washer 8,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
29,FW-7160,Flat Washer 5,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
30,FW-9160,Flat Washer 7,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
31,FC-3654,Fork Crown,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL
32,FC-3982,Front Derailleur Cage,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
33,FL-2301,Front Derailleur Linkage,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL
